Time (s),Left,,,Right,,
0.32,18.90000401,45.89983536,-5.110925476,-3.747821817,6.796335324,-2.504711511
0.33,19.29484364,45.38418627,-4.842905442,-4.115513296,7.403934904,-2.750045067
0.34,19.63701313,44.82692094,-4.578867215,-4.483204775,8.011534484,-2.995378622
0.35,19.92889776,44.23101835,-4.319047904,-4.850896254,8.619134064,-3.240712178
0.36,20.17288285,43.59945747,-4.063684619,-5.218587733,9.226733643,-3.486045734
0.37,20.37135369,42.93521726,-3.81301447,-5.586279212,9.834333223,-3.731379289
0.38,20.52669559,42.24127669,-3.567274566,-5.953970691,10.4419328,-3.976712845
0.39,20.64129384,41.52061473,-3.326702017,-6.32166217,11.04953238,-4.222046401
0.4,20.71753374,40.77621035,-3.091533933,-6.689353649,11.65713196,-4.467379956
0.41,20.75780061,40.01104252,-2.862007423,-7.057045128,12.26473154,-4.712713512
0.42,20.76447972,39.22809021,-2.638359597,-7.424736607,12.87233112,-4.958047068
0.43,20.73995639,38.43033239,-2.420827565,-7.792428086,13.4799307,-5.203380624
0.44,20.68661592,37.62074802,-2.209648436,-8.160119565,14.08753028,-5.448714179
0.45,20.60684361,36.80231608,-2.005059319,-8.527811044,14.69512986,-5.694047735
0.46,20.50302475,35.97801553,-1.807297325,-8.895502523,15.30272944,-5.939381291
0.47,20.37754465,35.15082535,-1.616599564,-9.263194002,15.91032902,-6.184714846
0.48,20.23278861,34.32372449,-1.433203144,-9.630885481,16.5179286,-6.430048402
0.49,20.07114192,33.49969195,-1.257345175,-9.99857696,17.12552818,-6.675381958
0.5,19.8949899,32.68170667,-1.089262768,-10.36626844,17.73312776,-6.920715513
0.51,19.70636068,31.87222104,-0.929126804,-10.73395992,18.34072734,-7.166049069
0.52,19.50585382,31.07158114,-0.776843257,-11.1016514,18.94832692,-7.411382625
0.53,19.29371173,30.27960642,-0.632251875,-11.46934288,19.5559265,-7.656716181
0.54,19.07017679,29.49611637,-0.495192402,-11.83703436,20.16352608,-7.902049736
0.55,18.83549142,28.72093046,-0.365504587,-12.20472583,20.77112566,-8.147383292
0.56,18.58989801,27.95386816,-0.243028176,-12.57241731,21.37872524,-8.392716848
0.57,18.33363897,27.19474896,-0.127602914,-12.94010879,21.98632482,-8.638050403
0.58,18.06695669,26.44339232,-0.01906855,-13.30780027,22.5939244,-8.883383959
0.59,17.79009357,25.69961772,0.082735171,-13.67549175,23.20152398,-9.128717515
0.6,17.50329202,24.96324464,0.177968503,-14.04318323,23.80912356,-9.37405107
0.61,17.20679444,24.23409256,0.266791697,-14.41087471,24.41672314,-9.619384626
0.62,16.90084323,23.51198093,0.349365009,-14.77856619,25.02432272,-9.864718182
0.63,16.58568078,22.79672925,0.42584869,-15.14625767,25.6319223,-10.11005174
0.64,16.26154951,22.08815699,0.496402996,-15.51394915,26.23952188,-10.35538529
0.65,15.9286918,21.38608362,0.561188178,-15.88164062,26.84712145,-10.60071885
0.66,15.58735007,20.69032862,0.620364491,-16.2493321,27.45472103,-10.8460524
0.67,15.23776671,20.00071146,0.674092188,-16.61702358,28.06232061,-11.09138596
0.68,14.88018412,19.31705162,0.722531522,-16.98471506,28.66992019,-11.33671952
0.69,14.51484471,18.63916858,0.765842747,-17.35240654,29.27751977,-11.58205307
0.7,14.14199087,17.9668818,0.804186116,-17.72009802,29.88511935,-11.82738663
0.71,13.76186501,17.30001076,0.837721883,-18.0877895,30.49271893,-12.07272018
0.72,13.37470952,16.63837495,0.8666103,-18.45548098,31.10031851,-12.31805374
0.73,12.98076681,15.98179382,0.891011622,-18.82317246,31.70791809,-12.56338729
0.74,12.58027927,15.33008687,0.911086102,-19.19086394,32.31551767,-12.80872085
0.75,12.17348932,14.68307357,0.926993993,-19.55855542,32.92311725,-13.05405441
0.76,11.76063934,14.04057338,0.938895549,-19.92624689,33.53071683,-13.29938796
0.77,11.34197175,13.40240579,0.946951023,-20.29393837,34.13831641,-13.54472152
0.78,10.91772894,12.76839026,0.951320668,-20.66162985,34.74591599,-13.79005507
0.79,10.48815331,12.13834629,0.952164738,-21.02932133,35.35351557,-14.03538863
0.8,10.05348726,11.51209333,0.949643487,-21.39701281,35.96111515,-14.28072218
0.81,9.613973192,10.88945087,0.943917167,-22.13239577,37.17631431,-14.7713893
0.82,9.169853511,10.27023838,0.935146032,-20.37016944,37.885281,-14.45500598
0.83,8.721370616,9.654275339,0.923490336,-18.61081321,38.59162978,-14.13870606
0.84,8.268766906,9.041381217,0.909110332,-16.85719718,39.29274271,-13.82257294
0.85,7.812284784,8.431375493,0.892166273,-15.11219147,39.98600189,-13.50669001
0.86,7.352166649,7.82407764,0.872818413,-13.37866615,40.66878938,-13.19114066
0.87,6.888654903,7.219307134,0.851227005,-11.65949135,41.33848728,-12.87600831
0.88,6.421991946,6.616883451,0.827552303,-9.957537166,41.99247767,-12.56137633
0.89,5.95242018,6.016626065,0.80195456,-8.275673692,42.62814262,-12.24732814
0.9,5.480182004,5.418354452,0.774594029,-6.616771034,43.24286421,-11.93394712
0.91,5.00551982,4.821888087,0.745630964,-4.983699294,43.83402452,-11.62131668
0.92,4.528676029,4.227046445,0.715225619,-3.379328575,44.39900565,-11.30952021
0.93,4.049893031,3.633649002,0.683538246,-1.806528978,44.93518965,-10.99864111
0.94,3.569413228,3.041515232,0.650729099,-0.268170605,45.43995863,-10.68876277
0.95,3.087479019,2.450464611,0.616958432,1.232876442,45.91069465,-10.3799686
0.96,2.604332806,1.860316613,0.582386497,2.69374206,46.3447798,-10.07234199
0.97,2.120216991,1.270890715,0.547173549,4.111556148,46.73959616,-9.765966337
0.98,1.635373972,0.682006391,0.511479841,5.483448604,47.0925258,-9.460925038
0.99,1.150046152,0.093483117,0.475465626,6.806549325,47.40095082,-9.157301492
1,0.664475932,-0.494859632,0.439291157,8.07798821,47.66225328,-8.855179096
1.01,0.296784453,0.112739948,0.193957602,9.294895156,47.87381528,-8.554641246
1.02,-0.070907026,0.720339527,-0.051375954,10.45440006,48.03301888,-8.255771339
1.03,-0.438598506,1.327939107,-0.29670951,11.55363282,48.13724618,-7.958652774
1.04,-0.806289985,1.935538687,-0.542043065,12.58972334,48.18387925,-7.663368946
1.05,-1.173981464,2.543138266,-0.787376621,13.55980152,48.17030017,-7.370003254
1.06,-1.541672943,3.150737846,-1.032710177,14.46099724,48.09389103,-7.078639094
1.07,-1.909364422,3.758337426,-1.278043732,15.29131631,47.95296671,-6.789385482
1.08,-2.277055901,4.365937006,-1.523377288,16.05226814,47.74957337,-6.50245391
1.09,-2.64474738,4.973536585,-1.768710844,16.74623801,47.48668999,-6.218081487
1.1,-3.012438859,5.581136165,-2.0140444,17.37561123,47.16729553,-5.936505322
1.11,-3.380130338,6.188735745,-2.259377955,17.94277311,46.79436896,-5.657962526
1.12,-3.747821817,6.796335324,-2.504711511,18.45010894,46.37088924,-5.382690207
1.13,-4.115513296,7.403934904,-2.750045067,18.90000401,45.89983536,-5.110925476
1.14,-4.483204775,8.011534484,-2.995378622,19.29484364,45.38418627,-4.842905442
1.15,-4.850896254,8.619134064,-3.240712178,19.63701313,44.82692094,-4.578867215
1.16,-5.218587733,9.226733643,-3.486045734,19.92889776,44.23101835,-4.319047904
1.17,-5.586279212,9.834333223,-3.731379289,20.17288285,43.59945747,-4.063684619
1.18,-5.953970691,10.4419328,-3.976712845,20.37135369,42.93521726,-3.81301447
1.19,-6.32166217,11.04953238,-4.222046401,20.52669559,42.24127669,-3.567274566
1.2,-6.689353649,11.65713196,-4.467379956,20.64129384,41.52061473,-3.326702017
1.21,-7.057045128,12.26473154,-4.712713512,20.71753374,40.77621035,-3.091533933
1.22,-7.424736607,12.87233112,-4.958047068,20.75780061,40.01104252,-2.862007423
1.23,-7.792428086,13.4799307,-5.203380624,20.76447972,39.22809021,-2.638359597
1.24,-8.160119565,14.08753028,-5.448714179,20.73995639,38.43033239,-2.420827565
1.25,-8.527811044,14.69512986,-5.694047735,20.68661592,37.62074802,-2.209648436
1.26,-8.895502523,15.30272944,-5.939381291,20.60684361,36.80231608,-2.005059319
1.27,-9.263194002,15.91032902,-6.184714846,20.50302475,35.97801553,-1.807297325
1.28,-9.630885481,16.5179286,-6.430048402,20.37754465,35.15082535,-1.616599564
1.29,-9.99857696,17.12552818,-6.675381958,20.23278861,34.32372449,-1.433203144
1.3,-10.36626844,17.73312776,-6.920715513,20.07114192,33.49969195,-1.257345175
1.31,-10.73395992,18.34072734,-7.166049069,19.8949899,32.68170667,-1.089262768
1.32,-11.1016514,18.94832692,-7.411382625,19.70636068,31.87222104,-0.929126804
1.33,-11.46934288,19.5559265,-7.656716181,19.50585382,31.07158114,-0.776843257
1.34,-11.83703436,20.16352608,-7.902049736,19.29371173,30.27960642,-0.632251875
1.35,-12.20472583,20.77112566,-8.147383292,19.07017679,29.49611637,-0.495192402
1.36,-12.57241731,21.37872524,-8.392716848,18.83549142,28.72093046,-0.365504587
1.37,-12.94010879,21.98632482,-8.638050403,18.58989801,27.95386816,-0.243028176
1.38,-13.30780027,22.5939244,-8.883383959,18.33363897,27.19474896,-0.127602914
1.39,-13.67549175,23.20152398,-9.128717515,18.06695669,26.44339232,-0.01906855
1.4,-14.04318323,23.80912356,-9.37405107,17.79009357,25.69961772,0.082735171
1.41,-14.41087471,24.41672314,-9.619384626,17.50329202,24.96324464,0.177968503
1.42,-14.77856619,25.02432272,-9.864718182,17.20679444,24.23409256,0.266791697
1.43,-15.14625767,25.6319223,-10.11005174,16.90084323,23.51198093,0.349365009
1.44,-15.51394915,26.23952188,-10.35538529,16.58568078,22.79672925,0.42584869
1.45,-15.88164062,26.84712145,-10.60071885,16.26154951,22.08815699,0.496402996
1.46,-16.2493321,27.45472103,-10.8460524,15.9286918,21.38608362,0.561188178
1.47,-16.61702358,28.06232061,-11.09138596,15.58735007,20.69032862,0.620364491
1.48,-16.98471506,28.66992019,-11.33671952,15.23776671,20.00071146,0.674092188
1.49,-17.35240654,29.27751977,-11.58205307,14.88018412,19.31705162,0.722531522
1.5,-17.72009802,29.88511935,-11.82738663,14.51484471,18.63916858,0.765842747
1.51,-18.0877895,30.49271893,-12.07272018,14.14199087,17.9668818,0.804186116
1.52,-18.45548098,31.10031851,-12.31805374,13.76186501,17.30001076,0.837721883
1.53,-18.82317246,31.70791809,-12.56338729,13.37470952,16.63837495,0.8666103
1.54,-19.19086394,32.31551767,-12.80872085,12.98076681,15.98179382,0.891011622
1.55,-19.55855542,32.92311725,-13.05405441,12.58027927,15.33008687,0.911086102
1.56,-19.92624689,33.53071683,-13.29938796,12.17348932,14.68307357,0.926993993
1.57,-20.29393837,34.13831641,-13.54472152,11.76063934,14.04057338,0.938895549
1.58,-20.66162985,34.74591599,-13.79005507,11.34197175,13.40240579,0.946951023
1.59,-21.02932133,35.35351557,-14.03538863,10.91772894,12.76839026,0.951320668
1.6,-21.39701281,35.96111515,-14.28072218,10.48815331,12.13834629,0.952164738
